Model,Selling Price,Kilometers Driven,Year,Owner,Fuel Type,Transmission,Car Condition,current price
78,595299.0,35045.0,2017.0,1,1,1,4.6,966458.0
35,397299.0,38790.0,2014.0,1,1,1,4.5,1462734.0
172,309399.0,8105.0,2018.0,1,1,1,4.9,811034.0
151,406788.0,78618.0,2013.0,1,0,1,4.0,1492512.0
110,116766.0,63586.0,2008.0,1,1,1,4.3,1467561.0
226,406799.0,34459.0,2013.0,1,1,1,4.3,1274175.0
180,551799.0,40382.0,2017.0,2,1,1,4.6,1155145.0
11,184383.0,31153.0,2016.0,2,1,1,4.4,939372.0
45,306499.0,43469.0,2012.0,1,1,1,4.2,1345054.0
55,227399.0,148906.0,2009.0,2,1,1,3.6,1108287.0
50,910099.0,12538.0,2019.0,1,1,1,4.8,1113316.0
226,428599.0,53390.0,2013.0,1,1,1,4.7,1220696.0
105,410740.0,65299.0,2014.0,2,1,1,4.4,999155.0
172,225899.0,39630.0,2016.0,1,1,1,4.3,1122861.0
232,335199.0,70252.0,2011.0,1,1,1,4.2,1146421.0
150,221899.0,55760.0,2011.0,1,1,1,4.1,1406094.0
279,503799.0,34812.0,2015.0,1,0,1,4.3,962458.0
171,78799.0,57895.0,2007.0,2,2,1,4.2,1004455.0
150,211699.0,84826.0,2010.0,1,1,1,4.3,1239897.0
226,562599.0,31999.0,2012.0,1,1,1,4.7,931609.0
105,451699.0,13349.0,2016.0,1,1,1,4.4,1312440.0
8,325199.0,98989.0,2011.0,1,0,0,4.8,1020554.0
274,321799.0,5160.0,2018.0,1,1,1,4.9,1032502.0
245,951099.0,28572.0,2018.0,1,0,1,4.9,1224310.0
128,336099.0,75891.0,2014.0,1,1,1,4.3,782410.0
54,391499.0,113241.0,2012.0,1,1,0,4.1,1471361.0
249,343899.0,17101.0,2018.0,1,1,1,4.7,1344220.0
124,322999.0,84048.0,2012.0,1,0,1,4.4,1014167.0
17,439299.0,152554.0,2014.0,1,0,1,4.4,1010814.0
324,393660.0,97467.0,2013.0,1,0,1,4.6,1450846.0
220,196999.0,114109.0,2010.0,1,1,1,4.4,1121751.0
237,566399.0,70952.0,2015.0,1,0,1,4.7,1186696.0
230,335599.0,80394.0,2013.0,1,0,1,3.9,1443828.0
218,208199.0,56276.0,2009.0,2,1,1,4.3,1452883.0
84,588399.0,110531.0,2015.0,1,0,1,4.9,877774.0
99,345799.0,23794.0,2014.0,2,1,1,4.6,1343311.0
250,242499.0,88514.0,2015.0,2,2,1,4.4,1449284.0
51,242299.0,76901.0,2009.0,1,1,1,4.1,1346984.0
238,241699.0,103401.0,2008.0,3,1,1,4.0,1047485.0
111,288099.0,55945.0,2011.0,1,1,1,4.2,961250.0
100,303399.0,106064.0,2013.0,1,1,1,4.2,1240462.0
86,544699.0,35153.0,2016.0,1,1,1,4.9,1042970.0
232,354699.0,135829.0,2013.0,2,1,1,3.8,1410080.0
86,552899.0,58361.0,2016.0,2,2,1,4.7,1101355.0
220,294599.0,45465.0,2014.0,2,1,1,4.5,1478137.0
124,415499.0,49718.0,2013.0,1,0,1,4.3,1079864.0
208,389899.0,32883.0,2017.0,1,1,1,4.3,1457140.0
114,215599.0,82791.0,2007.0,1,1,1,4.3,819268.0
150,235699.0,71611.0,2011.0,2,1,1,4.1,1152447.0
196,491399.0,103867.0,2014.0,1,0,1,4.3,1374224.0
86,554899.0,109448.0,2016.0,1,0,1,4.5,802984.0
227,281499.0,97436.0,2010.0,1,0,1,4.2,1293219.0
169,199899.0,68714.0,2010.0,2,1,1,4.2,1422817.0
159,1117599.0,72706.0,2017.0,1,0,1,4.3,966328.0
227,193499.0,89412.0,2008.0,2,1,1,4.5,1325681.0
316,262499.0,170425.0,2011.0,1,1,1,4.2,752941.0
271,867399.0,32783.0,2017.0,1,0,1,4.4,784022.0
242,935399.0,4566.0,2019.0,1,0,1,4.9,1454813.0
202,653399.0,13492.0,2018.0,1,0,0,4.9,758392.0
188,475299.0,20324.0,2018.0,1,2,1,4.5,967044.0
210,479999.0,62769.0,2014.0,1,1,1,4.1,1253138.0
45,338799.0,29104.0,2015.0,1,1,1,4.5,1296203.0
230,333099.0,95472.0,2012.0,1,0,1,4.2,1474917.0
57,606399.0,90509.0,2015.0,1,1,1,4.3,1160884.0
226,661399.0,27055.0,2019.0,1,1,1,4.9,961611.0
217,271499.0,16061.0,2012.0,1,0,1,4.4,982046.0
283,322499.0,109457.0,2012.0,2,0,1,4.2,1361967.0
249,149181.0,62834.0,2010.0,3,2,1,4.2,754538.0
172,324399.0,3495.0,2019.0,1,1,1,4.9,790539.0
45,277599.0,23210.0,2012.0,1,1,1,4.6,1104267.0
53,731019.0,52528.0,2016.0,1,1,1,4.8,1013026.0
86,522366.0,13900.0,2016.0,1,1,1,4.9,935062.0
342,272299.0,45711.0,2010.0,1,1,1,4.5,1454460.0
182,600399.0,24274.0,2018.0,1,0,1,4.6,1248608.0
226,461122.0,60626.0,2012.0,1,1,1,4.3,896483.0
250,381699.0,29735.0,2017.0,2,2,1,4.3,1260257.0
326,472499.0,56782.0,2015.0,1,0,1,4.8,890900.0
208,343299.0,29027.0,2015.0,1,1,1,4.5,915818.0
158,404786.0,38594.0,2016.0,1,0,1,4.3,1275421.0
45,301299.0,43702.0,2013.0,3,1,1,4.2,1160474.0
226,376199.0,68628.0,2014.0,1,0,1,4.6,986323.0
211,748899.0,69604.0,2018.0,1,0,1,4.3,843546.0
346,320699.0,125435.0,2010.0,1,1,1,4.2,1045095.0
51,257599.0,85362.0,2009.0,2,1,1,4.4,1067601.0
232,282096.0,90479.0,2011.0,1,1,1,4.3,1018821.0
228,340899.0,123363.0,2014.0,2,0,1,4.2,811285.0
208,278999.0,50754.0,2014.0,1,1,1,3.8,762825.0
249,235499.0,93112.0,2010.0,1,1,1,4.5,1334024.0
91,202699.0,50877.0,2012.0,1,2,1,4.2,1371797.0
145,356499.0,68559.0,2012.0,1,0,1,4.3,1250750.0
171,156299.0,41402.0,2011.0,1,1,1,4.5,1046130.0
339,382199.0,105572.0,2012.0,2,0,1,4.4,1436823.0
105,480299.0,25338.0,2016.0,1,1,1,4.9,935228.0
93,211499.0,28323.0,2014.0,1,1,1,4.5,1221740.0
226,377899.0,111379.0,2013.0,1,1,1,4.4,861680.0
250,181999.0,153709.0,2013.0,1,2,1,4.1,821458.0
143,408899.0,22768.0,2013.0,1,1,0,4.3,1109154.0
343,424499.0,133921.0,2015.0,1,0,1,4.0,1163733.0
286,752999.0,40267.0,2017.0,1,0,1,4.9,1165156.0
268,495299.0,85369.0,2016.0,1,0,0,4.2,962043.0
159,1192799.0,23836.0,2017.0,1,0,1,4.6,1030549.0
249,346677.0,30361.0,2013.0,1,1,1,4.5,820362.0
201,583799.0,12400.0,2017.0,1,1,1,4.8,991170.0
295,1380699.0,27929.0,2018.0,1,0,0,5.0,1093924.0
217,224999.0,80575.0,2012.0,2,0,1,4.3,1236687.0
223,681399.0,42045.0,2017.0,1,0,1,4.6,1262845.0
217,212299.0,72428.0,2012.0,1,0,1,4.1,813382.0
110,145999.0,98143.0,2010.0,1,1,1,4.1,1035149.0
230,353768.0,98618.0,2012.0,1,0,1,4.3,1044635.0
217,216799.0,97984.0,2013.0,1,0,1,4.2,1052274.0
126,430799.0,51641.0,2013.0,1,1,1,4.4,1343458.0
238,504737.0,94628.0,2018.0,1,2,0,4.5,1215766.0
207,316653.0,45174.0,2015.0,1,2,1,4.7,1036957.0
312,462199.0,86288.0,2011.0,2,1,0,4.3,1195921.0
139,343199.0,11234.0,2011.0,1,1,1,4.4,960660.0
162,635099.0,36705.0,2015.0,1,0,1,4.6,1457480.0
57,726106.0,28410.0,2015.0,2,1,1,4.6,1306259.0
245,932099.0,20273.0,2019.0,1,0,1,5.0,1361866.0
248,202999.0,54572.0,2008.0,1,1,1,4.1,1153643.0
352,341799.0,87834.0,2013.0,1,0,1,4.9,910104.0
172,223399.0,33341.0,2015.0,1,1,1,4.7,1150991.0
111,193780.0,136543.0,2011.0,1,2,1,4.3,843951.0
26,231199.0,102644.0,2010.0,2,1,1,3.7,1055869.0
250,239499.0,88691.0,2012.0,2,2,1,4.4,1099674.0
164,950499.0,7961.0,2019.0,1,0,1,4.8,1329888.0
230,326199.0,57730.0,2012.0,1,0,1,4.4,1179138.0
227,384599.0,72105.0,2012.0,1,0,1,4.2,1086769.0
346,317799.0,50372.0,2011.0,2,1,1,4.2,1131708.0
58,706899.0,93031.0,2016.0,1,0,1,4.6,755291.0
144,283400.0,46121.0,2012.0,3,1,1,4.3,1091903.0
91,193582.0,57951.0,2012.0,3,1,1,3.7,1499471.0
45,306599.0,64537.0,2013.0,1,1,1,4.1,1202081.0
215,502199.0,17424.0,2017.0,1,1,0,4.8,1104776.0
352,244349.0,87793.0,2010.0,1,1,1,4.1,1144737.0
210,380599.0,81227.0,2012.0,2,0,1,4.1,1461591.0
172,332799.0,3201.0,2017.0,1,1,1,4.9,1379534.0
110,210099.0,82748.0,2009.0,2,3,1,4.0,1419462.0
111,177499.0,60908.0,2012.0,1,1,1,3.8,1368573.0
342,256399.0,63748.0,2013.0,1,1,1,4.0,861571.0
2,1608699.0,87155.0,2015.0,1,0,0,4.4,1236929.0
2,1697199.0,30500.0,2015.0,1,0,0,4.8,1007818.0
207,399799.0,72425.0,2017.0,1,2,1,4.4,1153436.0
123,377499.0,119439.0,2013.0,2,0,0,4.3,793707.0
242,598699.0,60027.0,2016.0,1,0,1,4.5,796712.0
20,544299.0,71487.0,2014.0,2,1,0,4.5,936074.0
257,214499.0,31830.0,2011.0,2,1,1,4.4,1335931.0
10,189299.0,27123.0,2014.0,1,1,1,3.5,1453372.0
226,301899.0,112723.0,2012.0,1,0,1,4.5,805942.0
32,371299.0,45940.0,2015.0,1,1,1,4.3,1447554.0
191,396899.0,25538.0,2017.0,1,1,0,4.6,881758.0
4,954099.0,104921.0,2012.0,3,0,0,4.5,798067.0
138,306799.0,31584.0,2014.0,1,1,1,4.3,1385347.0
250,324899.0,26141.0,2015.0,1,2,1,4.2,753520.0
75,931399.0,41831.0,2017.0,1,1,1,4.9,1151315.0
174,322599.0,19792.0,2017.0,2,1,1,4.8,1301593.0
20,556199.0,46594.0,2015.0,1,1,0,4.3,1489710.0
232,484799.0,39550.0,2015.0,1,1,1,4.6,867149.0
60,125199.0,188651.0,2007.0,1,1,1,4.3,883606.0
346,466699.0,45500.0,2016.0,1,1,1,4.4,1327487.0
250,479914.0,28560.0,2018.0,1,2,1,4.5,817462.0
137,149199.0,72565.0,2009.0,2,1,1,4.1,1428522.0
188,504699.0,24060.0,2019.0,1,2,1,4.7,1344697.0
151,358999.0,56549.0,2014.0,1,0,1,4.6,817351.0
152,510299.0,21100.0,2014.0,1,1,1,4.6,780690.0
150,325999.0,48219.0,2012.0,1,1,1,4.1,924211.0
142,239599.0,107693.0,2013.0,1,1,1,4.2,952764.0
247,783199.0,35989.0,2016.0,1,0,1,4.9,1493507.0
217,232999.0,68342.0,2012.0,1,0,1,4.3,928323.0
217,279799.0,104928.0,2010.0,2,0,1,3.9,834199.0
293,433399.0,84474.0,2012.0,3,1,0,4.2,820177.0
236,470799.0,61191.0,2016.0,2,1,1,4.4,901342.0
113,104289.0,124360.0,2007.0,2,1,1,4.1,1415721.0
95,391199.0,64460.0,2014.0,1,0,1,4.4,810247.0
100,372099.0,49341.0,2015.0,1,1,1,4.4,880636.0
55,657599.0,65099.0,2015.0,2,1,1,4.3,814973.0
138,279599.0,87828.0,2012.0,1,3,1,3.8,1122600.0
86,637199.0,46056.0,2017.0,1,0,1,4.7,1340658.0
0,1319868.0,176188.0,2013.0,1,0,0,4.4,992214.0
